gene_especie_A,gene_especie_B,evalue_A_para_B,evalue_B_para_A
NP_414543.1,WP_005693830.1,0.0,0.0
NP_414544.1,WP_005654296.1,4.18393e-144,1.12526e-143
NP_414545.1,WP_005693831.1,0.0,0.0
NP_414547.1,WP_010869102.1,2.06436e-117,5.48134e-117
NP_414548.1,WP_032828421.1,3.39746e-128,1.24132e-118
NP_414549.1,WP_005693444.1,0.0,0.0
NP_414550.1,WP_005647046.1,1.04906e-115,2.81407e-115
NP_414555.1,WP_005694297.1,0.0,0.0
NP_414556.1,WP_032828442.1,3.35489e-164,0.0
NP_414560.1,WP_005694067.1,5.85939e-143,9.67319e-131
NP_414564.1,WP_005651580.1,1.75365e-41,4.65634e-41
NP_414566.1,WP_032828335.1,3.73679e-118,9.76353e-118
NP_414568.1,WP_005651632.1,5.83202e-56,1.61463e-55
NP_414570.1,WP_010869105.1,1.16935e-163,3.08523e-163
NP_414572.1,WP_005694461.1,9.29177e-136,2.58537e-130
NP_414589.1,WP_010869086.1,1.86184e-131,4.92766e-131
NP_414590.1,WP_005648125.1,2.05424e-58,5.48879e-58
NP_414591.1,WP_005664434.1,4.25623e-111,1.10995e-110
NP_414593.1,WP_005649513.1,4.78008e-138,1.33431e-137
NP_414595.1,WP_032828379.1,1.74751e-31,3.20596e-31
NP_414596.1,WP_010869043.1,0.0,0.0
NP_414597.1,WP_005694031.1,1.3012e-97,3.49031e-93
NP_414600.1,WP_005654471.1,3.36009e-101,8.9218e-101
NP_414601.1,WP_005692755.1,0.0,0.0
NP_414608.1,WP_005647864.1,9.0992e-77,2.23901e-76
NP_414609.1,WP_005693357.1,2.356e-125,1.32849e-121
NP_414610.1,WP_005693356.1,2.39855e-106,1.83926e-105
NP_414613.1,WP_005693330.1,1.2313e-106,3.25311e-106
NP_414614.1,WP_005693329.1,0.0,0.0
NP_414615.4,WP_005693328.1,0.0,0.0
NP_414616.1,WP_005693326.1,0.0,0.0
NP_414620.1,WP_005647229.1,7.63364e-80,2.02691e-79
NP_414623.1,WP_005686427.1,1.18992e-65,3.13872e-65
NP_414624.1,WP_005651812.1,2.95364e-139,3.74127e-139
NP_414625.1,WP_005647600.1,5.40107e-13,4.65983e-17
NP_414626.1,WP_005693446.1,0.0,0.0
NP_414627.1,WP_005693448.1,0.0,2.28961e-176
NP_414628.1,WP_010869135.1,5.93136e-157,9.37368e-144
NP_414629.1,WP_010869136.1,0.0,0.0
NP_414630.1,WP_005693450.1,0.0,5.8556e-180
NP_414631.1,WP_010869137.1,2.49017e-135,6.8654e-135
NP_414632.1,WP_005693451.1,1.95322e-156,5.1278e-156
NP_414633.1,WP_005693453.1,0.0,0.0
NP_414634.1,WP_005693454.1,3.642e-131,9.67033e-131
NP_414635.1,WP_005693455.1,6.85315e-49,2.08997e-47
NP_414636.1,WP_005693456.1,4.74863e-164,1.26095e-165
NP_414637.1,WP_005693457.1,2.09232e-119,8.37674e-118
NP_414638.1,WP_005693459.1,0.0,0.0
NP_414640.1,WP_005693259.1,0.0,0.0
NP_414641.1,WP_010869085.1,4.53093e-42,1.26835e-41
NP_414643.1,WP_005651442.1,2.53798e-21,7.04995e-21
NP_414645.1,WP_010869082.1,1.51611e-67,2.22846e-65
NP_414648.1,WP_005694369.1,1.10054e-37,1.60266e-36
NP_414649.1,WP_005694368.1,9.04015e-103,2.41599e-102
NP_414650.1,WP_005694367.1,7.98646e-22,6.05274e-30
NP_414651.1,WP_005693490.1,4.34404e-13,2.31463e-09
